what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_45",1497690643894
java.vm.info,sysinfo,,,"mixed mode, sharing",1497690643894
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1497690643894
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1497690643894
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1497690643894
java.vm.specification.version,sysinfo,,,"1.7",1497690643894
java.vm.vendor,sysinfo,,,"Oracle Corporation",1497690643894
java.vm.version,sysinfo,,,"24.45-b08",1497690643894
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1497690648199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690655320
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1497690659657
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1497690659670
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1497690663904
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1497690663911
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1497690664218
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1497690664236
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1497690664277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690665233
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1497690665615
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1497690665670
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1497690670766
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1497690670768
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1497690670927
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1497690670931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690674549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690692011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690695891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690732013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690736892
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1497690744577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1497690745147
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1497690745695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1497690745788
